case,task,subtask,score,value,alg_number,alg_name,phase
26,braintumor,BRATS_L1,HSD,0.8789999,1,BCVuniandes,1
26,braintumor,BRATS_L2,HSD,0.11692605,1,BCVuniandes,1
27,braintumor,BRATS_L1,DCS,0.798602099,1,BCVuniandes,1
27,braintumor,BRATS_L1,HSD,0.8874529,1,BCVuniandes,1
28,braintumor,BRATS_L1,DCS,0.847926045,1,BCVuniandes,1
28,braintumor,BRATS_L2,DCS,0,1,BCVuniandes,1
28,braintumor,BRATS_L1,HSD,0.84882116,1,BCVuniandes,1
28,braintumor,BRATS_L2,HSD,0.06766212,1,BCVuniandes,1
29,braintumor,BRATS_L1,DCS,0.847603038,1,BCVuniandes,1
29,braintumor,BRATS_L2,DCS,0.817484501,1,BCVuniandes,1
29,braintumor,BRATS_L1,HSD,1,1,BCVuniandes,1
29,braintumor,BRATS_L2,HSD,0.9999606,1,BCVuniandes,1
30,braintumor,BRATS_L1,DCS,0.177879863,1,BCVuniandes,1
30,braintumor,BRATS_L1,HSD,0.22935867,1,BCVuniandes,1
31,braintumor,BRATS_L1,DCS,0.298674669,1,BCVuniandes,1
31,braintumor,BRATS_L1,HSD,0.43240777,1,BCVuniandes,1
32,braintumor,BRATS_L1,DCS,0.787326056,1,BCVuniandes,1
32,braintumor,BRATS_L2,DCS,0.377212434,1,BCVuniandes,1
32,braintumor,BRATS_L3,DCS,0.877144231,1,BCVuniandes,1
32,braintumor,BRATS_L1,HSD,0.9615881,1,BCVuniandes,1
32,braintumor,BRATS_L2,HSD,0.7892986,1,BCVuniandes,1
32,braintumor,BRATS_L3,HSD,0.9995337,1,BCVuniandes,1
33,braintumor,BRATS_L1,DCS,0,1,BCVuniandes,1
33,braintumor,BRATS_L1,HSD,0,1,BCVuniandes,1
34,braintumor,BRATS_L1,DCS,0.112826603,1,BCVuniandes,1
34,braintumor,BRATS_L1,HSD,0.16155417,1,BCVuniandes,1
35,braintumor,BRATS_L1,DCS,0.038748137,1,BCVuniandes,1
35,braintumor,BRATS_L1,HSD,0.4308189,1,BCVuniandes,1
36,braintumor,BRATS_L1,DCS,0.323925315,1,BCVuniandes,1
36,braintumor,BRATS_L1,HSD,0.95453835,1,BCVuniandes,1
37,braintumor,BRATS_L1,DCS,0.463516554,1,BCVuniandes,1
37,braintumor,BRATS_L1,HSD,0.7287979,1,BCVuniandes,1
38,braintumor,BRATS_L1,DCS,0.573770492,1,BCVuniandes,1
38,braintumor,BRATS_L1,HSD,0.79198736,1,BCVuniandes,1
39,braintumor,BRATS_L1,DCS,0.577348066,1,BCVuniandes,1
39,braintumor,BRATS_L1,HSD,0.8760838,1,BCVuniandes,1
40,braintumor,BRATS_L1,DCS,0.167101027,1,BCVuniandes,1
40,braintumor,BRATS_L2,DCS,0.122806108,1,BCVuniandes,1
40,braintumor,BRATS_L1,HSD,0.5262615,1,BCVuniandes,1
40,braintumor,BRATS_L2,HSD,0.1645296,1,BCVuniandes,1
41,braintumor,BRATS_L1,DCS,0.710637662,1,BCVuniandes,1
41,braintumor,BRATS_L2,DCS,0.862454271,1,BCVuniandes,1
41,braintumor,BRATS_L1,HSD,0.96282095,1,BCVuniandes,1
41,braintumor,BRATS_L2,HSD,0.86153746,1,BCVuniandes,1
